,avg_log2FC,p_val_adj
IL1RAP,2.3227615,8.141871710275901e-24
BRWD1,1.0467542,9.144225559124351e-24
ANGPT1,5.104615,1.0331581135136666e-23
SOD2,1.40335,1.1042446047640843e-23
SVIL,3.4120524,1.2057405122566764e-23
SCMH1,1.2940478,1.2854815436166985e-23
SIAH1,1.9164639,1.8454635943671715e-23
SMAD2,1.8382539,1.9269680375267748e-23
MARCKSL1,1.955814,2.194950419236338e-23
MTF2,1.1138157,2.2948196877214424e-23
YWHAG,1.6749505,2.668281196461941e-23
DLG1,1.4526161,3.279418372205904e-23
UBAC2,1.249405,3.447005911828323e-23
SENP7,1.4379853,3.632591682126198e-23
MEX3C,1.3737509,3.6930326449795485e-23
MBD5,1.2095324,3.7338648704902317e-23
UBE2F,1.7244316,3.944047975580731e-23
CMTM6,1.1152234,3.9460703546379186e-23
TARBP1,2.5161705,4.1441466087296965e-23
UGP2,2.2338915,4.259640657359803e-23
FKBP1A,1.8342179,5.2018746359898984e-23
CLIC1,1.7426639,5.275780409159736e-23
ZZEF1,1.115128,5.411182406088371e-23
MEX3B,4.3176694,6.222258089664189e-23
STK26,1.4182992,7.21534494086027e-23
SOS1,1.0359462,7.456104280857544e-23
TBL1XR1,0.9462034,8.212129677815142e-23
HPCAL1,2.0008175,1.1158384448750081e-22
ROCK1,0.8461111,1.2002034341626086e-22
SHOC2,0.96864516,1.3090599748850205e-22
LYPLA1,1.9239179,1.3577580883300466e-22
SELENOH,1.6497089,1.6455571362401954e-22
TRIO,1.5212386,2.270253761376896e-22
PSMD1,1.22724,3.0417915985995833e-22
BEX3,4.2723546,3.048153575664421e-22
PUM2,0.80176526,3.048153575664421e-22
KAT6B,0.9064204,3.0584128007757965e-22
PSMA4,1.3638107,3.2957870114854812e-22
RSRC1,1.3043176,3.55777559194539e-22
BLOC1S6,1.0922121,4.562960346530531e-22
IGLL1,4.942359,4.803845518351725e-22
APPL1,1.5482882,5.330681204108702e-22
MAP3K3,1.6410904,7.696453849274641e-22
MGAT5,1.5477666,7.70648056823545e-22
GSK3B,1.1070888,8.177480970626894e-22
HES1,5.2537155,8.341619412751998e-22
AAGAB,1.6223688,9.085804136263751e-22
ZNF131,1.1857731,9.331798022827449e-22
SYNJ2,3.234078,1.3418155621741379e-21
PALM2AKAP2,3.323606,1.5868924083326529e-21
WIPI2,1.6977831,1.6271464364071112e-21
KLF10,1.1856841,1.7663903499298886e-21
PLAC8,1.2668695,2.1139134794522476e-21
PCCA,1.7709541,2.3000984320451886e-21
UVRAG,1.2291476,3.0620011660482397e-21
UBQLN1,1.0548149,3.241611156482931e-21
CBX3,1.1281604,3.749066318538103e-21
SPNS3,3.032982,4.357098554361988e-21
USP14,0.9512065,4.357098554361988e-21
RBM26,0.97894865,4.91270680513605e-21
PICALM,0.84025025,5.051021594888594e-21
TANC2,2.0932455,5.234848108893636e-21
OLA1,1.1394559,5.348673613171904e-21
PDS5B,1.0522373,5.485447690373162e-21
HIVEP3,1.1655381,6.031287150556225e-21
RRBP1,1.6686242,6.031287150556225e-21
SCARB2,2.3045704,6.775693838497985e-21
RAVER2,3.6933665,7.274082996569941e-21
WDR41,3.2961833,7.42990416850924e-21
PPP4R2,1.1331258,8.82437989657817e-21
CORO1C,2.4827032,8.83800967054121e-21
SEC24D,1.4024366,8.862671727786198e-21
TCP1,1.2969229,9.705762211043204e-21
NHERF1,1.4182599,1.0806666189125651e-20
SPN,1.595383,1.0871765657546018e-20
UBE2R2,1.462795,1.4984631813316725e-20
TET3,1.8753651,1.553542419891298e-20
SEPTIN2,0.95233685,1.6070539216515525e-20
ZBTB44,1.1921995,1.693000904104467e-20
MARCHF5,1.1527984,1.793188741604809e-20
AP2A2,1.9175729,1.8124083495913872e-20
SREBF2,0.98146504,1.8336406303313466e-20
SETD3,2.0744638,1.933475203540903e-20
HNRNPR,0.9708868,1.968674307554308e-20
NREP,4.949303,1.9799955290978268e-20
GP6-AS1,1.6288191,2.0170309373004913e-20
MTMR10,1.6250616,2.0241467187587567e-20
IP6K2,1.2332394,2.2689699975882532e-20
WDPCP,1.7568895,2.350872299753926e-20
ATF6,1.267599,2.4353014776463594e-20
ZNF652,1.352116,2.5532677213210024e-20
PIAS2,1.4742422,2.777648494653258e-20
ZNRF1,2.793189,3.457862967982287e-20
BID,1.9343708,3.4802238220892086e-20
NME2,1.1882684,3.613230144535646e-20
RASSF2,3.0245278,3.800172588501841e-20
POGZ,1.0525339,4.013309264964903e-20
ARID4A,1.01557,4.1613767434981913e-20
PAPOLA,0.9234045,6.159042582506696e-20
PGGHG,1.3384763,6.856216202973055e-20
STAU2,1.8716038,7.00489557684759e-20
CLCN3,3.0463471,7.359972820716359e-20
UBA6,0.90551716,7.481272380339296e-20
SENP6,0.86764544,9.137664069229705e-20
AFTPH,1.1841702,1.01109310786603e-19
KTN1,0.89445275,1.1077407575801244e-19
RALY,0.936767,1.1077407575801244e-19
USP33,1.1779021,1.221155251481833e-19
YTHDF3,0.9030159,1.2940535842835482e-19
ZMAT3,1.8448253,1.3903524328876577e-19
FNIP1,0.9783557,1.4066637232987457e-19
TPT1,0.42211935,1.4801354964776513e-19
CTCF,1.4310685,1.5515783290493342e-19
BAHCC1,4.54381,1.5758204780909837e-19
TRIM33,0.9286592,1.6201907561480638e-19
C16orf87,1.5936767,1.7537173738298287e-19
ZNF280D,2.147401,1.7987140339754808e-19
MBOAT7,3.8113332,2.641939742975137e-19
SCAPER,1.1157012,3.1987374306922846e-19
MAP2K1,1.0389998,3.352237179177756e-19
OPA1,0.87573177,4.3376011487973375e-19
SELENOO,1.4817747,4.68207275118645e-19
FUT8,1.6407665,4.684801513833555e-19
BCL11A,4.942547,4.809375735701486e-19
