,avg_log2FC,p_val_adj
HIBCH,1.6827172,8.263658825559081e-40
RERE,1.4080747,8.944516117889298e-40
FTO,1.4815595,1.0289031476554229e-39
IMPDH2,2.0937006,1.1100143624842763e-39
CPSF6,1.4610993,1.6367748270710507e-39
MNAT1,1.7591758,2.4371515899199877e-39
ANKRD36C,1.4464123,2.6552996006528137e-39
MAILR,3.396339,3.1981972241652055e-39
DCAF6,1.781708,4.537734273552222e-39
TEC,3.2807481,6.036738179525382e-39
CTNND1,2.5200021,7.979374794565464e-39
TLX3,3.341469,9.95266358223148e-39
ZFR,1.5499628,1.0802213963116075e-38
USP32,1.8376982,1.2869543568183726e-38
ENOSF1,1.7041197,1.4446472664510202e-38
MIR4435-2HG,2.1993043,1.646810193455637e-38
MEF2A,1.5638821,2.171305025808444e-38
ANTXR2,1.8284224,2.1981103796748124e-38
TNRC6C,1.3102442,2.5270944285941553e-38
PIKFYVE,2.1388292,2.75723884322494e-38
MIR924HG,3.7699585,2.877741473570363e-38
SMARCA4,1.6199608,3.1101599785492726e-38
TTC3,1.188202,3.555696421038663e-38
ZNF280D,2.024532,3.870376125870964e-38
RPRD1A,1.8202283,4.6737529676505565e-38
GABPB1-AS1,1.8882154,4.723894399928887e-38
MGST2,3.338043,5.260283594116736e-38
RAB11FIP1,1.6984009,5.506719918006174e-38
KDM5B,2.116224,5.881302871698144e-38
UBA6-DT,2.7501895,8.156663242185251e-38
VAPA,1.3477999,8.803298934719766e-38
SERTAD2,2.1771245,9.888412064774613e-38
XRCC5,1.2636205,1.3078971693160241e-37
PHACTR4,1.621732,1.346837457794765e-37
GSK3B,1.4009465,1.642037088369681e-37
ZZZ3,1.8544134,2.1558916357037177e-37
RAP1GDS1,1.4262735,2.6541669540315697e-37
SLX4IP,2.0708034,3.532125811820575e-37
TTC28,2.9424748,4.593310558023353e-37
SRPK1,1.680251,5.954586524015588e-37
PNN,1.0536216,6.853485310389895e-37
WRN,1.6697135,7.729004073137533e-37
AKAP6,2.9142613,1.3203640677246832e-36
ALPK1,2.3645601,1.9185149603936006e-36
AGPS,1.7058365,3.0862865029232997e-36
ATXN10,1.4105617,3.9358619343390074e-36
EIF4G3,1.3862543,3.9991318681775585e-36
HDAC2,1.854917,4.7282267661757896e-36
APEX1,1.7610794,5.1208899250757626e-36
SMG7,1.8322905,6.038332652772876e-36
METTL15,1.7144581,6.99812661658905e-36
TMEM14B,1.4679627,7.404736408048534e-36
LARP1B,2.294543,8.015056149408283e-36
SNRPE,1.6461173,8.265835833999354e-36
YWHAE,1.2971087,8.984850136746157e-36
TAF15,1.3409606,9.380018225483219e-36
ZNF736,2.610712,9.735235086553146e-36
UBE2R2,1.4988278,1.2167034321928918e-35
GALNT6,2.7344952,1.3717128481383655e-35
TKT,1.6824962,2.4567208392903037e-35
TCF4,2.9494328,2.630552920133262e-35
SETD5,1.4492189,3.2360185161693037e-35
KAZN,3.4057775,4.1175848307843527e-35
CD99P1,2.556881,4.74437584057298e-35
CALHM6,2.45395,4.95197833976525e-35
EPHB1,3.2263997,5.799384184819016e-35
MAD1L1,1.495032,5.82445839345667e-35
ILF2,1.5652364,5.902630736982101e-35
TTC7A,1.5032392,7.570367171945996e-35
LAT2,3.114299,8.185341276537569e-35
ADGRA3,2.7710652,8.203502805239822e-35
ZMYM2,1.1922889,8.248891270354575e-35
CLASP2,1.318229,8.993817798472304e-35
PCNX4,1.4279122,1.1149551006428626e-34
MYH10,2.8470128,1.6033858698796795e-34
ATXN2,1.6798629,1.627227473711986e-34
ARHGAP22,4.726598,1.7029909567308735e-34
ARID1B,0.978381,1.9991586894941505e-34
MYL6B,2.717582,2.289146254453225e-34
PTCRA,3.9171214,2.93902908582999e-34
KCNT2,3.9466038,3.710806535389321e-34
HACD3,1.8177302,4.4467093253748975e-34
MAP2K5,1.4880385,5.482784490520521e-34
ZNF207,1.2876568,6.366197714595329e-34
LMAN1,1.597134,6.997264688298846e-34
TPM4,1.5584712,7.296297739509484e-34
PVT1,1.337602,7.4214121170170476e-34
ZBTB44,1.5437174,1.4241865263231139e-33
HNRNPM,1.2415096,1.5573111316308075e-33
ZNF124,2.4913485,1.7937410014601786e-33
MBD5,1.1760927,1.8721489939582346e-33
SERINC5,1.2918595,1.9074446248903353e-33
DENND5A,2.3824408,2.1697061556617893e-33
CELF1,1.2954494,2.187979743581682e-33
GALK2,1.805558,2.240076642562617e-33
UHRF1,2.5767007,2.2563039075537874e-33
IGFBP2,4.450993,3.258694663138298e-33
TOGARAM1,1.9726361,3.309283305462412e-33
PKIG,3.107411,3.4910151875809954e-33
MTHFD2L,2.359696,6.47574524912329e-33
IGF2BP3,3.400136,8.223400658268756e-33
MIB1,1.861383,9.234614278203336e-33
MAP4K5,1.4351616,1.0777818970624388e-32
NUCKS1,1.3030428,1.302122771435747e-32
EXOC6,1.5843933,1.302122771435747e-32
SBF2,1.347354,1.4934265885501475e-32
LRPPRC,1.6584014,2.2741128784734928e-32
PAPSS1,2.2229114,4.4693024059689624e-32
ITSN1,3.283531,6.17968477083502e-32
ENPEP,4.019643,6.834667695312286e-32
ARID2,1.2279145,6.851700268087179e-32
PPIP5K2,1.4814641,7.044405441980104e-32
HM13,1.4558698,9.329606683914437e-32
SATB1,1.2877146,1.244868601777791e-31
BPTF,0.98203,1.4677368853173941e-31
PRPF40A,1.2799112,1.6036623127224956e-31
ADAM22,3.223424,1.7456101566554334e-31
CSTF3,2.2171373,1.7456101566554334e-31
ABCD3,2.3186255,1.8046654584365417e-31
TSHR,4.581942,2.2399410954961586e-31
MYO7B,2.7116644,2.3090123692575635e-31
PKP4,2.1945627,2.5396459970493654e-31
SHPRH,1.5583167,3.108601266852272e-31
ATG10,1.788136,3.112800521724982e-31
VEZT,1.665623,3.2664762182613255e-31
PUM2,1.1158329,4.1884649431384485e-31
ARHGAP5,1.4151175,4.247937764877829e-31
MPZL1,3.6779633,4.298505320323051e-31
TRAF3IP2-AS1,2.1221921,4.406719297096509e-31
UBR5,1.2102754,5.0360656655441055e-31
ADGRL3,4.8123837,5.970310423092618e-31
TIMP2,3.001391,6.128942910892817e-31
THADA,1.2974453,7.251938046730136e-31
HMGN3,1.2643838,7.719890355912243e-31
DIAPH2,1.2251335,7.76974634707092e-31
DNAAF9,1.856491,8.778218904962154e-31
NPEPPS,1.4144503,1.0823839371440799e-30
ZC4H2,2.4435904,1.2422725243231053e-30
GAPDH,1.0299639,1.2866385422923844e-30
RAB28,1.4948808,1.3367045094535937e-30
JPT1,1.4766451,1.614231360570505e-30
HNRNPR,1.2267089,1.8907793810374416e-30
ATF2,1.5923874,1.967457285717938e-30
MSH2,2.304955,2.7395586257398968e-30
CCAR1,1.3335954,2.950732223495443e-30
SNCA,4.2421,3.542727894215073e-30
AHI1,1.2903196,4.1217869151905644e-30
DIP2B,1.4496546,4.875464684098642e-30
AFF1,1.425253,4.97951794832073e-30
PRPS2,2.1283681,5.277525172263048e-30
TTLL5,1.657768,5.895026430889675e-30
AIG1,2.188667,6.202415296392958e-30
PELI2,1.5073621,6.522092851910306e-30
TBCD,1.4016182,6.873380497256167e-30
PRKCB,1.0361874,7.88317757601021e-30
RAPGEF5,3.301972,9.560199590149627e-30
RNF24,2.159028,9.562595724405127e-30
CASD1,1.6098125,1.0148787669517547e-29
CPT1A,1.9170815,1.0933077443559701e-29
PHF21A,1.3311243,1.1931370724640983e-29
ZNF680,3.2915554,1.4401762935785008e-29
PPP3R1,1.2112732,1.6638007024205222e-29
STRBP,1.6701785,1.8003180054414197e-29
MBNL1,0.6818406,2.891767739979449e-29
ZNF439,2.1677146,3.5063738765689076e-29
YLPM1,1.2322563,3.950548463985502e-29
APPL1,1.5959221,4.03917054049231e-29
SRP9,1.3996029,4.158157828667874e-29
SPTBN1,1.2717217,4.457713654318064e-29
ZNF22,2.0345862,4.703413403161248e-29
CHCHD3,1.3480207,4.8790294031983893e-29
TMEM135,1.4448969,5.230101456240259e-29
NME1,2.2185602,5.280380342739967e-29
ERGIC1,1.3936571,6.163825539696503e-29
GRIP1,1.9931252,7.057703344912936e-29
DLG1,1.1062605,7.39680244138858e-29
DUT,1.3890043,8.014280964167315e-29
FXYD2,3.1505756,9.499473424936642e-29
NAA50,1.3684155,9.868532493815077e-29
ZNF431,1.7035198,1.1220786647654631e-28
EID1,1.2643418,1.153638039461148e-28
SENP6,1.1392946,1.3476250023741356e-28
YEATS2,1.856392,1.3768521141444755e-28
GSE1,1.4135944,1.3915176878100963e-28
YY1,1.2454718,1.5889752907439471e-28
RBM33,1.1881481,1.5967656141260203e-28
GRK3,2.398797,1.7050843039036844e-28
EIF2AK2,1.4348433,1.7686471278683321e-28
