,avg_log2FC,p_val_adj
SEC31A,1.1861663,2.587643866714956e-12
TES,1.2807021,2.599330060807074e-12
STIP1,2.0574248,2.631581612645143e-12
CASD1,1.3581297,2.634971246840337e-12
TOGARAM1,1.48879,2.7944950281017563e-12
PSMA6,1.1965638,2.877647608533486e-12
NIPBL,0.78151745,2.9103745669195186e-12
RIN3,1.2586771,2.941031189130624e-12
ZNF827,1.5647262,3.0090791593703507e-12
PRPF40A,0.9865723,3.2335381433984437e-12
CEP170,1.5102932,3.302173698667381e-12
NDUFAB1,1.4849494,3.4786452618156644e-12
SKAP1,0.7500207,3.4786452618156644e-12
TMED8,2.4708033,3.7000351975101275e-12
ABCC1,1.0714732,3.7181361624167536e-12
RHOH,0.86522317,3.774389819461084e-12
GRSF1,1.391368,3.814012623760397e-12
SHPRH,1.257231,3.8242234043345245e-12
KHDRBS3,4.3281283,3.953660925243246e-12
CNOT2,1.0039791,4.020771437227219e-12
MIPEP,2.6596065,4.143488266608137e-12
SNHG15,1.3990333,4.164079092264892e-12
MGLL,3.1956525,4.2950140393364785e-12
B3GNT2,1.6389698,4.4540302000937e-12
ITGA6,1.3513824,4.716877170286192e-12
SUPT16H,1.2306776,5.248397924985799e-12
LANCL2,1.5854139,5.3056539850271924e-12
BPTF,0.8982228,5.474266527444071e-12
ATAD2B,1.051729,5.627674871141701e-12
PAIP1,1.5396733,5.816597399410136e-12
MSI2,1.0543419,6.5345435949822455e-12
CWC27,1.3305645,6.605584862778168e-12
TRAF5,1.6427069,6.710405187788186e-12
MRPL16,1.8179499,7.167936844288123e-12
ENY2,1.3328629,7.577004834289865e-12
RAPGEF5,4.237203,7.958573373894207e-12
RAF1,1.2565951,8.310176322970227e-12
SEC63,1.1089648,8.533655255679676e-12
SBNO1,1.134408,8.845924252570217e-12
PIAS1,1.0637743,8.845924252570217e-12
ANKRD17,0.99412334,8.905212357830795e-12
ATP11B,0.95211214,8.905212357830795e-12
AP1S2,1.8558928,9.28920108815577e-12
PAFAH1B3,2.3791654,9.598754954793511e-12
SMARCB1,1.6361295,9.624392081147847e-12
HIBCH,1.5554448,1.0680395735621096e-11
NDUFC2,1.1897885,1.1676150685255853e-11
PI16,4.3095098,1.1918728003912968e-11
PPP4R2,1.1892204,1.2773934662757162e-11
GARS1,1.7015692,1.2830816849419898e-11
LGALS3BP,2.0974693,1.2882210578154591e-11
KNL1,3.124147,1.3344352201913722e-11
CELF2,0.54363596,1.3487851913833945e-11
MARK3,1.0334989,1.43378207364819e-11
BIRC6,0.75297874,1.45955637828608e-11
TET3,1.5215122,1.5057816348208768e-11
LMBRD1,1.054126,1.583468172726767e-11
USP7,1.2018222,1.682948862758419e-11
ATF2,1.2090927,1.694184069850795e-11
RNF168,1.5751034,1.7508010382349486e-11
PCNA,2.249847,1.820554880534204e-11
