,avg_log2FC,p_val_adj
REST,1.1648879,5.677446903200863e-104
PEBP1,1.0013278,5.956898835673237e-104
DYNC1H1,0.86468786,6.373511368195135e-104
ZNF292,0.75925523,1.0235627323574557e-103
ENSG00000224905,2.7421784,1.3301873479915808e-103
PAPSS1,2.0037148,2.214309951481037e-103
ZNF618,4.309789,2.48986093247262e-103
TMEM135,1.290516,2.533618063734622e-103
RPRD1A,1.4325051,2.7899426332617026e-103
PAXBP1,1.1723512,3.534564027674165e-103
PI4KA,0.9394299,5.149520943771261e-103
FZD6,3.973551,5.381045590388773e-103
SNHG29,0.8229917,5.473507659192416e-103
ENSG00000291175,1.2866843,7.06568686555975e-103
ARHGEF2,2.2292154,8.607075584859676e-103
CLEC16A,1.3866307,1.1058714008842822e-102
LINC01237,1.9532106,2.0802243774494365e-102
ZNF107,1.3253424,2.405784438530794e-102
AHCYL2,1.5953219,3.6527049216557626e-102
ATP11A,1.4401733,6.898043373471473e-102
FAM193A,0.9424316,9.862752261586402e-102
YLPM1,0.9358082,1.191937985351169e-101
LARP4B,1.0063777,1.2688064391702683e-101
NIN,0.92414016,1.3492487487188257e-101
