,avg_log2FC,p_val_adj
E2F3,2.0140493,7.55618093417413e-32
SSBP3,1.4982485,9.222930190977515e-32
PDLIM1,4.966468,1.4861422704608263e-31
ZMYM2,0.888247,1.7201997188775134e-31
MLXIP,1.5541337,1.7434713607785561e-31
VEZT,1.4597111,2.424607876871608e-31
UST,1.84573,2.751248272899067e-31
VCL,2.6281738,4.854310208522921e-31
CPT1A,1.6180294,5.507530023537077e-31
FAM13B,1.0491866,5.507530023537077e-31
DDAH2,4.213516,5.758527341357937e-31
PRKCE,1.297683,5.87816824088231e-31
SMAD2,1.3887844,1.148322496104734e-30
N4BP2,1.4054897,1.2719755629894724e-30
NEK7,1.1185839,1.868220688984967e-30
CCDC171,3.0180461,3.346704886502681e-30
UBE2Q2,1.5999454,3.507734811481704e-30
PUM2,0.78963214,4.9017126114963005e-30
ACAP2,0.8665199,5.9897197955937105e-30
STK26,1.6362903,6.85355466376115e-30
IGLL1,6.1099315,1.5476647703870377e-29
FNDC3A,0.9270745,2.3413470889984792e-29
EMID1,5.7808976,2.4850417414868136e-29
ACADM,2.4459388,3.3190294168645575e-29
SIL1,1.9159777,7.017165062647251e-29
EIF4G3,1.0986794,9.633959794394653e-29
CTSC,1.3133761,1.2538968906896014e-28
JPT1,1.2972916,1.5201823722608723e-28
FRYL,0.914237,1.9545494711439427e-28
TRD-AS1,4.4026875,2.065957781941927e-28
LRP12,4.682169,2.1188859001194804e-28
PI16,7.238752,2.562566003858995e-28
SH3RF1,6.9126368,3.0436512631703003e-28
SLC25A37,1.7010038,4.667183219817822e-28
SOS1,0.81576306,5.663773283261871e-28
LINC01819,4.540413,6.806161658960984e-28
CSNK1A1,0.7824378,7.597829266414889e-28
CXXC5,4.3903847,7.908525503993887e-28
RBM39,0.5289245,1.0024166429925701e-27
RERE,0.86732894,1.1452044617200538e-27
KLHL24,0.9437114,1.2562544365253299e-27
MOB1B,2.0667841,1.3172394754611094e-27
MAP4K3,1.3121389,1.3398812205545403e-27
SKAP2,2.6393638,1.6516404577352435e-27
CCDC57,1.3792049,1.7892076371213287e-27
PLIN3,2.4269009,3.577040976129418e-27
PECAM1,1.771267,3.6190475065200315e-27
MYO15B,2.072962,4.589714711815125e-27
TBC1D5,0.78227764,5.104690141968833e-27
PIGX,2.5718803,7.34950662077989e-27
TMC3-AS1,4.4459233,8.105575246625674e-27
NPEPPS,1.2846673,9.152271131992934e-27
HS6ST1,4.556083,9.199034745805603e-27
KLF10,2.6577387,1.0895453347884454e-26
LINC01215,2.701155,1.1534322131941003e-26
TPM3,0.752728,1.1795416861273345e-26
CELF2,0.49040145,1.2856071224992229e-26
TET3,1.8173281,1.6605759377624643e-26
JUND,0.54311204,2.047859018718323e-26
HDAC7,1.7020935,2.6969167123404405e-26
KMT2E,0.5802937,2.779547411647322e-26
DYNLL1,1.3874139,3.1859246493117694e-26
CLIC1,0.93899864,3.336607479762855e-26
ANKRD33B,4.7494674,4.0788824659522606e-26
GALNT6,3.742297,5.937760847647882e-26
TTTY10,3.111159,6.833978871281721e-26
RASA1,1.2894396,6.869977389801113e-26
ZRANB2,0.85898876,7.878689271273165e-26
KMT5B,1.4454286,1.4649295128803408e-25
ITGA1,3.9815814,1.6472740502014886e-25
KDM1A,1.6628139,1.883654588084686e-25
GAPDH,0.69763875,1.9793257892155947e-25
ACTR2,0.7157368,2.2490888521639566e-25
PRDX5,1.498742,2.253211402744114e-25
GIT2,1.3730828,2.3431590307289352e-25
INSR,5.0089936,2.6295533269134454e-25
GPBP1L1,1.0763823,2.8627534028444767e-25
REV3L,0.99735445,3.3479931360512434e-25
SET,0.64643866,3.474625296266045e-25
PRSS57,5.7609496,3.480276079641185e-25
ELMO1,0.64875925,3.589952363567241e-25
MRTFA,1.2651008,3.9660945625132904e-25
HPGD,1.3612685,4.226105658247514e-25
ARHGAP10,1.6465644,6.6239364601499415e-25
ARRB1,2.9681015,7.063571881867703e-25
SRGAP3,4.1896653,7.7763877180177545e-25
NCKAP1L,1.1703082,8.666345330657914e-25
DNAJB6,0.69699615,9.874662244553265e-25
MBOAT7,3.411769,1.0523339293063522e-24
PBRM1,1.0341465,1.1792735260812186e-24
PSTPIP2,2.0126226,1.2707899098030448e-24
UBE2H,0.9858655,1.287201842385858e-24
TBC1D32,1.6797321,1.511013365602567e-24
